,G1000116,M1004271,M0001227,M0000612,S0059843,S0059744,M0000185,M0000271
2008-06-17,99.85297,5.0158,8.22,7.7,5.0095,3.5072,6.8919,73.54
2008-06-18,99.85297,5.016,8.22,7.7,5.0099,3.4434,6.8823,73.45
2008-06-19,99.85297,5.0162,8.22,7.7,5.0105,3.456,6.8796,73.47
2008-06-20,99.85297,5.1017,8.22,7.7,5.0122,3.4665,6.8826,73.08
2008-06-23,99.85297,5.151,8.22,7.7,5.0126,3.4497,6.8676,73.46
2008-06-24,99.85297,5.1412,8.22,7.7,5.0051,3.4229,6.8736,73.25
2008-06-25,99.85297,5.1414,8.22,7.7,5.0111,3.4226,6.8684,72.92
2008-06-26,99.85297,5.186,8.22,7.7,5.0086,3.4229,6.8634,72.52
2008-06-27,99.85297,5.2285,8.22,7.7,5.0458,3.5082,6.861,72.28
2008-06-30,99.00704,5.2026,8.84,7.1,5.0658,3.5467,6.8591,72.47
2008-07-01,99.00704,5.2326,8.84,7.1,5.0858,3.5327,6.8608,72.34
2008-07-02,99.00704,5.2386,8.84,7.1,5.1058,3.5635,6.8621,71.99
2008-07-03,99.00704,5.2337,8.84,7.1,5.1165,3.5279,6.8529,72.73
2008-07-04,99.00704,5.2338,8.84,7.1,5.1365,3.5246,6.8639,72.71
2008-07-07,99.00704,5.2338,8.84,7.1,5.1243,3.4976,6.8567,72.71
2008-07-08,99.00704,5.214,8.84,7.1,5.1261,3.4911,6.8581,72.96
2008-07-09,99.00704,5.21,8.84,7.1,5.1072,3.5245,6.8632,72.59
2008-07-10,99.00704,5.2018,8.84,7.1,5.1085,3.483,6.8489,72.49
2008-07-11,99.00704,5.2,8.84,7.1,5.0889,3.473,6.8397,71.91
2008-07-14,99.00704,5.1868,8.84,7.1,5.1033,3.4516,6.8266,71.96
2008-07-15,99.00704,5.195,8.84,7.1,5.08,3.5467,6.823,71.7
2008-07-16,99.00704,5.1818,8.84,7.1,5.081,3.5086,6.8128,72.06
2008-07-17,99.00704,5.1686,8.84,7.1,5.0524,3.5333,6.8189,72.05
2008-07-18,99.00704,5.1554,8.84,7.1,5.0482,3.534,6.8238,72.17
2008-07-21,99.00704,5.1504,8.84,7.1,5.0524,3.5495,6.8271,71.84
2008-07-22,99.00704,5.1456,8.84,7.1,5.0724,3.5577,6.8219,72.43
2008-07-23,99.00704,5.1457,8.84,7.1,5.0524,3.58,6.8279,72.81
2008-07-24,99.00704,5.1458,8.84,7.1,5.0382,3.5789,6.8297,72.85
2008-07-25,99.00704,5.1657,8.84,7.1,5.0686,3.5624,6.8255,72.81
2008-07-28,99.00704,5.1688,8.84,7.1,5.1142,3.5651,6.8277,72.69
2008-07-29,99.00704,5.1747,8.84,7.1,5.0942,3.5551,6.8205,73.3
2008-07-30,99.00704,5.1698,8.84,7.1,5.0942,3.5451,6.8351,73.3
2008-07-31,97.9519,5.1747,10.03,6.3,5.07,3.5405,6.8388,73.2
2008-08-01,97.9519,5.19,10.03,6.3,5.06,3.5305,6.8423,73.37
2008-08-04,97.9519,5.1907,10.03,6.3,5.095,3.58,6.8471,73.5
2008-08-05,97.9519,5.1858,10.03,6.3,5.0784,3.5902,6.8501,73.96
2008-08-06,97.9519,5.2,10.03,6.3,5.0484,3.6,6.8525,74.25
2008-08-07,97.9519,5.28,10.03,6.3,5.0284,3.635,6.8555,74.54
2008-08-08,97.9519,5.2649,10.03,6.3,5.0008,3.6401,6.8585,75.84
2008-08-11,97.9519,5.3254,10.03,6.3,4.9696,3.6502,6.8638,76.27
2008-08-12,97.9519,5.273,10.03,6.3,4.9725,3.62,6.8659,76.17
2008-08-13,97.9519,5.25,10.03,6.3,4.9622,3.62,6.8628,76.26
2008-08-14,97.9519,5.23,10.03,6.3,4.9566,3.5755,6.863,76.71
2008-08-15,97.9519,5.18,10.03,6.3,4.9405,3.5514,6.8649,77.12
2008-08-18,97.9519,5.16,10.03,6.3,4.9433,3.5505,6.8665,77.18
2008-08-19,97.9519,5.14,10.03,6.3,4.9232,3.5506,6.8599,76.76
2008-08-20,97.9519,5.12,10.03,6.3,4.9258,3.5505,6.8529,76.93
2008-08-21,97.9519,5.1,10.03,6.3,4.96,3.5205,6.8518,76.08
2008-08-22,97.9519,5.1001,10.03,6.3,4.99,3.5012,6.8357,76.74
2008-08-25,97.9519,5.0899,10.03,6.3,4.9459,3.5012,6.8397,76.81
2008-08-26,97.9519,5.06,10.03,6.3,4.97,3.5,6.84,77.27
2008-08-27,97.9519,5.042,10.03,6.3,4.985,3.4999,6.8415,77.04
2008-08-28,97.9519,5.01,10.03,6.3,4.977,3.4872,6.8326,77.15
2008-08-29,97.9519,4.97,10.03,6.3,4.971,3.487,6.8345,77.32
2008-08-31,96.73858,4.97,10.06,4.9,4.971,3.487,6.8345,77.32
2008-09-01,96.73858,4.94,10.06,4.9,5.01,3.4863,6.832,77.66
2008-09-02,96.73858,4.9345,10.06,4.9,5.06,3.436,6.8359,78.03
2008-09-03,96.73858,4.9362,10.06,4.9,5.065,3.4,6.8398,78.09
2008-09-04,96.73858,4.9375,10.06,4.9,5.07,3.4,6.841,78.94
2008-09-05,96.73858,4.925,10.06,4.9,5.06,3.39,6.8436,78.88
2008-09-08,96.73858,4.926,10.06,4.9,5.057,3.3818,6.8455,79.54
2008-09-09,96.73858,4.896,10.06,4.9,5.054,3.3782,6.8399,79.51
2008-09-10,96.73858,4.846,10.06,4.9,5.04,3.3564,6.8406,80.21
2008-09-11,96.73858,4.816,10.06,4.9,5.0426,3.3641,6.8457,79.87
2008-09-12,96.73858,4.725,10.06,4.9,5.045,3.3268,6.8458,78.94
2008-09-15,96.73858,4.725,10.06,4.9,5.045,3.3268,6.8458,78.49
2008-09-16,96.73858,4.5538,10.06,4.9,4.9675,3.2493,6.8203,79.29
2008-09-17,96.73858,4.4,10.06,4.9,4.91,3.155,6.829,78.17
2008-09-18,96.73858,4.4338,10.06,4.9,4.9937,3.18,6.8201,78.19
2008-09-19,96.73858,4.45,10.06,4.9,4.9977,3.2344,6.8276,76.13
2008-09-22,96.73858,4.4,10.06,4.9,4.8977,3.285,6.8243,76.19
2008-09-23,96.73858,4.38,10.06,4.9,4.8977,3.3501,6.8009,76.72
2008-09-24,96.73858,4.35,10.06,4.9,4.7977,3.34,6.8129,77.0
2008-09-25,96.73858,4.3202,10.06,4.9,4.845,3.3599,6.8197,77.01
2008-09-26,96.73858,4.36,10.06,4.9,4.8327,3.3455,6.8183,76.95
2008-09-27,96.73858,4.4203,10.06,4.9,4.8581,3.35,6.8183,76.95
2008-09-28,96.73858,4.4395,10.06,4.9,4.8881,3.3481,6.8183,76.95
2008-09-29,96.73858,4.4395,10.06,4.9,4.8881,3.3481,6.8183,77.71
2008-09-30,95.51868,4.4395,9.13,4.6,4.8881,3.3481,6.8183,79.24
2008-10-01,95.51868,4.4395,9.13,4.6,4.8881,3.3481,6.8183,79.69
2008-10-02,95.51868,4.4395,9.13,4.6,4.8881,3.3481,6.8183,80.56
2008-10-03,95.51868,4.4395,9.13,4.6,4.8881,3.3481,6.8183,80.61
2008-10-06,95.51868,4.4156,9.13,4.6,4.8764,3.3041,6.8321,81.61
2008-10-07,95.51868,4.16,9.13,4.6,4.81,3.253,6.8345,81.234
2008-10-08,95.51868,3.9452,9.13,4.6,4.73,3.1997,6.8319,81.151
2008-10-09,95.51868,3.713,9.13,4.6,4.5174,2.9093,6.831,81.4
2008-10-10,95.51868,3.6767,9.13,4.6,4.5466,2.7352,6.8327,82.41
2008-10-13,95.51868,3.7569,9.13,4.6,4.5478,2.8229,6.8287,81.85
2008-10-14,95.51868,3.7707,9.13,4.6,4.5725,2.8,6.8278,81.56
2008-10-15,95.51868,3.7523,9.13,4.6,4.52,2.8472,6.8272,82.29
2008-10-16,95.51868,3.7,9.13,4.6,4.49,2.7753,6.8295,82.25
2008-10-17,95.51868,3.7542,9.13,4.6,4.4634,2.8244,6.8311,82.36
2008-10-20,95.51868,3.76,9.13,4.6,4.4443,2.7747,6.8297,83.08
2008-10-21,95.51868,3.7601,9.13,4.6,4.4091,2.7303,6.8309,84.729
2008-10-22,95.51868,3.77,9.13,4.6,4.3201,2.7224,6.8339,85.34
2008-10-23,95.51868,3.73,9.13,4.6,4.2812,2.6884,6.8368,84.83
2008-10-24,95.51868,3.7253,9.13,4.6,4.208,2.6696,6.8357,86.53
2008-10-27,95.51868,3.68,9.13,4.6,4.198,2.669,6.836,87.15
2008-10-28,95.51868,3.63,9.13,4.6,4.0683,2.6191,6.8369,86.15
2008-10-29,95.51868,3.5507,9.13,4.6,4.02,2.562,6.8318,84.48
2008-10-30,95.51868,3.4905,9.13,4.6,4.02,2.5899,6.827,84.53
2008-10-31,94.4817,3.5003,6.59,4.0,4.0198,2.527,6.8258,85.59
2008-11-03,94.4817,3.501,6.59,4.0,4.0139,2.5266,6.8288,86.3
2008-11-04,94.4817,3.4514,6.59,4.0,4.0452,2.48,6.8261,84.74
2008-11-05,94.4817,3.4766,6.59,4.0,3.9567,2.4534,6.824,84.57
2008-11-06,94.4817,3.4765,6.59,4.0,3.875,2.4357,6.8252,86.222
2008-11-07,94.4817,3.4572,6.59,4.0,3.8537,2.2963,6.8277,86.09
2008-11-10,94.4817,3.3618,6.59,4.0,3.88,2.286,6.8252,85.87
2008-11-11,94.4817,3.3621,6.59,4.0,3.85,2.2517,6.8265,87.04
2008-11-12,94.4817,3.3224,6.59,4.0,3.75,2.25,6.8291,87.43
2008-11-13,94.4817,3.2091,6.59,4.0,3.65,2.1155,6.8295,86.9
2008-11-14,94.4817,3.3551,6.59,4.0,3.66,2.0902,6.8289,86.32
2008-11-17,94.4817,3.3833,6.59,4.0,3.61,2.067,6.8303,86.76
2008-11-18,94.4817,3.4148,6.59,4.0,3.59,2.0195,6.828,87.11
2008-11-19,94.4817,3.5296,6.59,4.0,3.74,2.1,6.8293,87.46
2008-11-20,94.4817,3.5013,6.59,4.0,3.7524,2.0689,6.8307,88.22
2008-11-21,94.4817,3.4504,6.59,4.0,3.754,2.0585,6.8317,87.65
2008-11-24,94.4817,3.4889,6.59,4.0,3.7,2.1347,6.8304,85.867
2008-11-25,94.4817,3.5823,6.59,4.0,3.73,2.1416,6.8284,84.77
2008-11-26,94.4817,3.5129,6.59,4.0,3.6684,2.08,6.8272,85.78
2008-11-27,94.4817,3.268,6.59,4.0,3.476,1.83,6.8292,85.53
2008-11-28,94.4817,3.3276,6.59,4.0,3.55,1.8991,6.8349,86.55
2008-11-30,93.8476,3.3276,1.99,2.4,3.55,1.8991,6.8349,86.55
2008-12-01,93.8476,3.3836,1.99,2.4,3.585,1.8945,6.8505,87.05
2008-12-02,93.8476,3.3892,1.99,2.4,3.41,1.8188,6.8527,86.57
2008-12-03,93.8476,3.3427,1.99,2.4,3.34,1.7522,6.8502,86.7
2008-12-04,93.8476,3.303,1.99,2.4,3.24,1.68,6.8502,86.52
2008-12-05,93.8476,3.2736,1.99,2.4,3.03,1.33,6.8482,86.82
2008-12-08,93.8476,3.28,1.99,2.4,3.08,1.3547,6.8509,85.51
2008-12-09,93.8476,3.5065,1.99,2.4,3.082,1.3553,6.8479,85.84
2008-12-10,93.8476,3.3809,1.99,2.4,3.0821,1.3413,6.8475,85.45
2008-12-11,93.8476,3.4073,1.99,2.4,3.0221,1.3367,6.8471,83.63
2008-12-12,93.8476,3.3836,1.99,2.4,3.0021,1.2958,6.8451,83.66
2008-12-15,93.8476,3.3841,1.99,2.4,3.02,1.2951,6.8442,82.13
2008-12-16,93.8476,3.3259,1.99,2.4,3.02,1.2958,6.8433,80.35
2008-12-17,93.8476,3.2006,1.99,2.4,2.9404,1.219,6.8353,78.49
2008-12-18,93.8476,3.112,1.99,2.4,2.8404,1.0845,6.8322,79.78
2008-12-19,93.8476,3.0894,1.99,2.4,2.7904,1.0554,6.8357,81.1
2008-12-22,93.8476,3.1407,1.99,2.4,2.7782,1.0959,6.8377,81.26
2008-12-23,93.8476,3.1078,1.99,2.4,2.7442,1.0808,6.8389,81.45
2008-12-24,93.8476,3.1235,1.99,2.4,2.7478,1.0808,6.8397,80.98
2008-12-25,93.8476,3.1707,1.99,2.4,2.7458,1.0986,6.8366,80.98
2008-12-26,93.8476,3.1658,1.99,2.4,2.7597,1.0966,6.8362,81.13
2008-12-29,93.8476,3.1672,1.99,2.4,2.7707,1.104,6.8357,81.53
2008-12-30,93.8476,3.1772,1.99,2.4,2.7707,1.1054,6.8353,80.94
2008-12-31,93.80079,3.1785,-1.14,1.2,2.7737,1.102,6.8346,81.17
2009-01-02,93.80079,3.1785,-1.14,1.2,2.7737,1.102,6.8346,81.48
2009-01-04,93.80079,3.13,-1.14,1.2,2.7567,1.0836,6.8346,81.48
2009-01-05,93.80079,3.1558,-1.14,1.2,2.7482,1.0869,6.8367,82.55
2009-01-06,93.80079,3.1207,-1.14,1.2,2.6973,1.077,6.8384,82.78
2009-01-07,93.80079,3.0963,-1.14,1.2,2.67,1.0578,6.8389,82.17
2009-01-08,93.80079,3.0969,-1.14,1.2,2.6446,1.0546,6.8375,81.58
2009-01-09,93.80079,3.0984,-1.14,1.2,2.6306,1.0354,6.8363,82.52
2009-01-12,93.80079,3.1149,-1.14,1.2,2.6342,1.0403,6.8382,83.2
2009-01-13,93.80079,3.179,-1.14,1.2,2.6875,1.0342,6.8395,84.25
2009-01-14,93.80079,3.2642,-1.14,1.2,2.7044,1.0511,6.8399,84.28
2009-01-15,93.80079,3.3748,-1.14,1.2,2.7075,1.0511,6.8392,84.62
2009-01-16,93.80079,3.4035,-1.14,1.2,2.7675,1.0718,6.8383,84.04
2009-01-19,93.80079,3.4803,-1.14,1.2,2.7854,1.0897,6.836,85.03
2009-01-20,93.80079,3.5112,-1.14,1.2,2.81,1.0804,6.8385,86.13
2009-01-21,93.80079,3.5402,-1.14,1.2,2.8568,1.1272,6.8396,85.46
2009-01-22,93.80079,3.5024,-1.14,1.2,2.7994,1.0969,6.8373,85.56
2009-01-23,93.80079,3.4891,-1.14,1.2,2.7069,1.0837,6.838,85.58
2009-01-24,93.80079,3.4741,-1.14,1.2,2.6474,1.0884,6.838,85.58
2009-01-26,93.80079,3.4741,-1.14,1.2,2.6474,1.0884,6.838,84.48
2009-01-27,93.80079,3.4741,-1.14,1.2,2.6474,1.0884,6.838,84.52
2009-01-28,93.80079,3.4741,-1.14,1.2,2.6474,1.0884,6.838,84.49
2009-01-29,93.80079,3.4741,-1.14,1.2,2.6474,1.0884,6.838,85.38
2009-01-30,93.80079,3.4741,-1.14,1.2,2.6474,1.0884,6.838,85.84
2009-01-31,94.28492,3.4741,-3.35,1.0,2.6474,1.0884,6.838,85.84
2009-02-01,94.28492,3.4613,-3.35,1.0,2.6362,1.0737,6.838,85.84
2009-02-02,94.28492,3.5485,-3.35,1.0,2.6461,1.0736,6.8397,85.95
2009-02-03,94.28492,3.6198,-3.35,1.0,2.6946,1.0713,6.8398,84.88
2009-02-04,94.28492,3.6703,-3.35,1.0,2.7376,1.1143,6.8348,85.7
2009-02-05,94.28492,3.8205,-3.35,1.0,2.7376,1.165,6.836,86.09
2009-02-06,94.28492,3.7055,-3.35,1.0,2.7458,1.1732,6.8371,85.29
2009-02-09,94.28492,3.6957,-3.35,1.0,2.6908,1.1182,6.8346,84.88
2009-02-10,94.28492,3.7228,-3.35,1.0,2.6756,1.103,6.833,85.58
2009-02-11,94.28492,3.6666,-3.35,1.0,2.6735,1.1009,6.8337,85.71
2009-02-12,94.28492,3.5466,-3.35,1.0,2.6567,1.0845,6.8327,86.1
2009-02-13,94.28492,3.5723,-3.35,1.0,2.6001,1.0734,6.8334,86.11
2009-02-16,94.28492,3.5477,-3.35,1.0,2.6121,1.0854,6.8343,86.46
2009-02-17,94.28492,3.6499,-3.35,1.0,2.6314,1.0923,6.8352,87.76
2009-02-18,94.28492,3.625,-3.35,1.0,2.5933,1.1022,6.8363,88.14
2009-02-19,94.28492,3.5908,-3.35,1.0,2.5915,1.1004,6.8369,87.5
2009-02-20,94.28492,3.6172,-3.35,1.0,2.5933,1.1022,6.8357,86.62
2009-02-23,94.28492,3.6298,-3.35,1.0,2.6616,1.0968,6.8337,87.33
2009-02-24,94.28492,3.6147,-3.35,1.0,2.6263,1.0821,6.8358,86.89
2009-02-25,94.28492,3.6309,-3.35,1.0,2.6005,1.0192,6.8361,87.86
2009-02-26,94.28492,3.6165,-3.35,1.0,2.5712,0.9999,6.8371,87.8
2009-02-27,94.28492,3.6208,-3.35,1.0,2.5832,1.0119,6.8379,88.15
2009-02-28,95.14297,3.6208,-4.47,-1.6,2.5832,1.0119,6.8379,88.15
2009-03-02,95.14297,3.6503,-4.47,-1.6,2.5744,1.0031,6.8389,88.91
2009-03-03,95.14297,3.6616,-4.47,-1.6,2.5294,0.9968,6.8392,89.07
2009-03-04,95.14297,3.6575,-4.47,-1.6,2.4794,0.9895,6.8395,88.48
2009-03-05,95.14297,3.7079,-4.47,-1.6,2.4486,0.9878,6.8365,89.1
2009-03-06,95.14297,3.6931,-4.47,-1.6,2.4013,0.9405,6.837,88.59
2009-03-09,95.14297,3.6848,-4.47,-1.6,2.35,0.9376,6.8355,89.17
2009-03-10,95.14297,3.6755,-4.47,-1.6,2.3256,0.9132,6.8358,88.62
2009-03-11,95.14297,3.655,-4.47,-1.6,2.3005,0.8881,6.8347,87.63
2009-03-12,95.14297,3.672,-4.47,-1.6,2.2995,0.8871,6.8339,87.36
2009-03-13,95.14297,3.6631,-4.47,-1.6,2.2926,0.9062,6.8334,87.26
2009-03-16,95.14297,3.6526,-4.47,-1.6,2.2938,0.9025,6.8349,87.0
2009-03-17,95.14297,3.6279,-4.47,-1.6,2.2792,0.8879,6.8327,86.88
2009-03-18,95.14297,3.6353,-4.47,-1.6,2.3079,0.9508,6.8319,84.1
2009-03-19,95.14297,3.6387,-4.47,-1.6,2.3041,0.9005,6.8301,83.07
2009-03-20,95.14297,3.6732,-4.47,-1.6,2.2907,0.9211,6.8293,83.71
2009-03-23,95.14297,3.6903,-4.47,-1.6,2.2461,0.8997,6.8304,83.47
2009-03-24,95.14297,3.7172,-4.47,-1.6,2.2381,0.9014,6.8301,84.1
2009-03-25,95.14297,3.7191,-4.47,-1.6,2.2501,0.9095,6.8328,83.77
2009-03-26,95.14297,3.757,-4.47,-1.6,2.2438,0.9384,6.8321,84.12
2009-03-27,95.14297,3.7875,-4.47,-1.6,2.23,0.9291,6.8317,85.14
2009-03-30,95.14297,3.7838,-4.47,-1.6,2.2097,0.9074,6.834,85.67
2009-03-31,96.16207,3.7839,-6.0,-1.2,2.2148,0.967,6.8359,85.6
2009-04-01,96.16207,3.7832,-6.0,-1.2,2.25,0.9643,6.8349,85.47
2009-04-02,96.16207,3.8207,-6.0,-1.2,2.22,0.9479,6.8341,84.3
2009-04-03,96.16207,3.8699,-6.0,-1.2,2.2907,0.9638,6.832,84.17
2009-04-06,96.16207,3.8699,-6.0,-1.2,2.2907,0.9638,6.832,84.73
2009-04-07,96.16207,3.8999,-6.0,-1.2,2.2634,0.9994,6.834,85.23
2009-04-08,96.16207,3.925,-6.0,-1.2,2.2434,1.0052,6.837,85.2
2009-04-09,96.16207,3.9215,-6.0,-1.2,2.2684,0.9957,6.8358,85.66
2009-04-10,96.16207,3.9021,-6.0,-1.2,2.2734,0.9837,6.8347,85.52
2009-04-13,96.16207,3.908,-6.0,-1.2,2.3,0.9712,6.8332,84.59
2009-04-14,96.16207,3.8862,-6.0,-1.2,2.3008,0.968,6.8296,84.78
2009-04-15,96.16207,3.8648,-6.0,-1.2,2.3249,0.9921,6.8293,84.95
2009-04-16,96.16207,3.8223,-6.0,-1.2,2.3155,0.9827,6.8301,85.19
2009-04-17,96.16207,3.7961,-6.0,-1.2,2.34,1.0078,6.8311,85.88
2009-04-20,96.16207,3.8169,-6.0,-1.2,2.3297,0.9941,6.8329,86.67
2009-04-21,96.16207,3.8008,-6.0,-1.2,2.3488,0.9989,6.8342,86.5
2009-04-22,96.16207,3.8007,-6.0,-1.2,2.3679,0.9892,6.8306,86.28
2009-04-23,96.16207,3.7988,-6.0,-1.2,2.3526,1.0032,6.8295,85.42
2009-04-24,96.16207,3.8281,-6.0,-1.2,2.385,1.0326,6.8273,84.76
2009-04-27,96.16207,3.8071,-6.0,-1.2,2.365,1.0053,6.8253,85.72
2009-04-28,96.16207,3.7975,-6.0,-1.2,2.3912,0.9958,6.8274,85.2
2009-04-29,96.16207,3.7642,-6.0,-1.2,2.3917,1.0011,6.8265,84.66
2009-04-30,97.21099,3.7723,-6.6,-1.5,2.36,1.0006,6.825,84.79
2009-05-01,97.21099,3.7723,-6.6,-1.5,2.36,1.0006,6.825,84.51
2009-05-04,97.21099,3.786,-6.6,-1.5,2.3485,1.0114,6.8225,83.71
2009-05-05,97.21099,3.7924,-6.6,-1.5,2.3491,0.9904,6.8201,84.16
2009-05-06,97.21099,3.7907,-6.6,-1.5,2.37,1.0009,6.8232,83.98
2009-05-07,97.21099,3.7571,-6.6,-1.5,2.3708,1.0003,6.823,83.84
2009-05-08,97.21099,3.7637,-6.6,-1.5,2.3448,0.9856,6.8221,82.43
2009-05-11,97.21099,3.7701,-6.6,-1.5,2.324,0.9696,6.822,82.8
2009-05-12,97.21099,3.7689,-6.6,-1.5,2.3189,0.9466,6.8242,82.29
2009-05-13,97.21099,3.7417,-6.6,-1.5,2.2971,0.9449,6.8235,82.57
2009-05-14,97.21099,3.7442,-6.6,-1.5,2.2873,0.9395,6.825,82.4
2009-05-15,97.21099,3.7427,-6.6,-1.5,2.2409,0.9431,6.8247,82.94
2009-05-18,97.21099,3.7341,-6.6,-1.5,2.1801,0.8882,6.8267,82.55
2009-05-19,97.21099,3.7367,-6.6,-1.5,2.1804,0.9023,6.826,82.1
2009-05-20,97.21099,3.7266,-6.6,-1.5,2.1504,0.89,6.8251,81.18
2009-05-21,97.21099,3.7375,-6.6,-1.5,2.1605,0.8961,6.8245,80.49
2009-05-22,97.21099,3.7466,-6.6,-1.5,2.2005,0.9369,6.8239,80.04
2009-05-25,97.21099,3.7489,-6.6,-1.5,2.1963,0.9349,6.8235,80.01
2009-05-26,97.21099,3.7425,-6.6,-1.5,2.1918,0.9296,6.8285,80.09
2009-05-27,97.21099,3.7464,-6.6,-1.5,2.2518,0.9454,6.8324,80.76
2009-05-28,97.21099,3.7464,-6.6,-1.5,2.2518,0.9454,6.8324,80.56
2009-05-29,97.21099,3.7464,-6.6,-1.5,2.2518,0.9454,6.8324,79.23
2009-05-31,98.16841,3.7454,-7.2,-1.4,2.2337,0.9605,6.8324,79.23
2009-06-01,98.16841,3.7459,-7.2,-1.4,2.2034,0.9566,6.8317,79.19
2009-06-02,98.16841,3.746,-7.2,-1.4,2.2032,0.93,6.8309,78.45
2009-06-03,98.16841,3.7639,-7.2,-1.4,2.2332,0.9329,6.8302,79.5
2009-06-04,98.16841,3.7735,-7.2,-1.4,2.2672,0.9518,6.8325,79.44
2009-06-05,98.16841,3.7805,-7.2,-1.4,2.2989,0.9835,6.8334,80.67
2009-06-08,98.16841,3.7583,-7.2,-1.4,2.3166,0.997,6.8365,80.87
2009-06-09,98.16841,3.7842,-7.2,-1.4,2.3283,0.9999,6.8366,79.81
2009-06-10,98.16841,3.7826,-7.2,-1.4,2.3297,1.0097,6.8336,80.32
2009-06-11,98.16841,3.7982,-7.2,-1.4,2.3265,0.9938,6.8348,79.6
2009-06-12,98.16841,3.8275,-7.2,-1.4,2.327,0.9984,6.8325,80.13
2009-06-15,98.16841,3.824,-7.2,-1.4,2.3314,0.9953,6.8343,81.16
2009-06-16,98.16841,3.8038,-7.2,-1.4,2.3325,1.0033,6.8368,80.75
2009-06-17,98.16841,3.7932,-7.2,-1.4,2.334,0.996,6.834,80.29
2009-06-18,98.16841,3.7913,-7.2,-1.4,2.34,1.0084,6.8321,80.58
2009-06-19,98.16841,3.791,-7.2,-1.4,2.3412,1.0095,6.8338,80.36
2009-06-22,98.16841,3.8058,-7.2,-1.4,2.3496,1.0027,6.8328,80.84
2009-06-23,98.16841,3.8309,-7.2,-1.4,2.3454,1.0029,6.8339,79.85
2009-06-24,98.16841,3.8609,-7.2,-1.4,2.3512,1.0044,6.8316,80.54
2009-06-25,98.16841,3.8488,-7.2,-1.4,2.342,0.9754,6.8331,80.34
2009-06-26,98.16841,3.8697,-7.2,-1.4,2.3518,0.9798,6.8328,79.9
2009-06-29,98.16841,3.8646,-7.2,-1.4,2.38,0.9807,6.8316,79.9
2009-06-30,99.17654,3.8651,-7.8,-1.7,2.4,0.981,6.8319,80.16
2009-07-01,99.17654,3.8777,-7.8,-1.7,2.4,0.981,6.8325,79.61
2009-07-02,99.17654,3.8778,-7.8,-1.7,2.3994,0.985,6.8309,80.55
2009-07-03,99.17654,3.877,-7.8,-1.7,2.3994,0.9905,6.8333,80.41
2009-07-06,99.17654,3.8836,-7.8,-1.7,2.4405,1.0158,6.833,80.38
2009-07-07,99.17654,3.8846,-7.8,-1.7,2.4387,1.0497,6.8326,80.7
2009-07-08,99.17654,3.8797,-7.8,-1.7,2.4884,1.1009,6.8336,80.66
2009-07-09,99.17654,3.9175,-7.8,-1.7,2.5412,1.15,6.8325,79.91
2009-07-10,99.17654,3.9212,-7.8,-1.7,2.7412,1.35,6.8313,80.32
2009-07-13,99.17654,3.9001,-7.8,-1.7,2.7212,1.33,6.832,80.06
2009-07-14,99.17654,3.905,-7.8,-1.7,2.6712,1.2736,6.8332,80.03
2009-07-15,99.17654,3.9544,-7.8,-1.7,2.6712,1.3699,6.8328,79.4
2009-07-16,99.17654,4.0135,-7.8,-1.7,2.8013,1.5,6.8315,79.24
2009-07-17,99.17654,4.0535,-7.8,-1.7,2.9513,1.65,6.831,79.48
2009-07-20,99.17654,4.0235,-7.8,-1.7,2.9672,1.6559,6.8321,78.85
2009-07-21,99.17654,3.9648,-7.8,-1.7,2.9675,1.6562,6.8311,78.83
2009-07-22,99.17654,3.9496,-7.8,-1.7,2.95,1.6663,6.8309,78.79
2009-07-23,99.17654,3.9171,-7.8,-1.7,2.9003,1.6472,6.8307,79.03
2009-07-24,99.17654,3.9281,-7.8,-1.7,2.9211,1.6693,6.8318,78.84
2009-07-27,99.17654,3.9394,-7.8,-1.7,2.9122,1.6599,6.8316,78.63
2009-07-28,99.17654,3.933,-7.8,-1.7,2.8875,1.6372,6.831,78.86
2009-07-29,99.17654,3.9501,-7.8,-1.7,2.86,1.6572,6.8314,79.52
2009-07-30,99.17654,3.9401,-7.8,-1.7,2.8442,1.6523,6.8335,79.33
2009-07-31,100.0427,3.9295,-8.2,-1.8,2.8158,1.6408,6.8323,78.35
2009-08-03,100.0427,3.9517,-8.2,-1.8,2.8081,1.6265,6.831,77.57
2009-08-04,100.0427,3.9336,-8.2,-1.8,2.7981,1.6353,6.8303,77.72
2009-08-05,100.0427,3.9381,-8.2,-1.8,2.7837,1.6243,6.8306,77.57
2009-08-06,100.0427,3.9013,-8.2,-1.8,2.7742,1.6185,6.8304,78.0
2009-08-07,100.0427,3.895,-8.2,-1.8,2.8142,1.6585,6.8316,78.9
2009-08-10,100.0427,3.9014,-8.2,-1.8,2.8028,1.6471,6.8346,79.18
2009-08-11,100.0427,3.8777,-8.2,-1.8,2.7796,1.6264,6.8352,79.17
2009-08-12,100.0427,3.8522,-8.2,-1.8,2.7302,1.5951,6.8351,78.84
2009-08-13,100.0427,3.8635,-8.2,-1.8,2.711,1.5889,6.8343,78.44
2009-08-14,100.0427,3.8921,-8.2,-1.8,2.75,1.6004,6.8328,78.72
2009-08-17,100.0427,3.8872,-8.2,-1.8,2.79,1.6043,6.8333,79.34
2009-08-18,100.0427,3.8866,-8.2,-1.8,2.8211,1.6049,6.8339,78.98
2009-08-19,100.0427,3.888,-8.2,-1.8,2.8637,1.6029,6.8329,78.48
